Temperature,activation,batch_size,epochs,input_dim,loss,lr,s,w1,w2,w3,wht,Free_eng_score,eng_score,ent_score,mae_feng
1200,leaky_relu,32,300,20,mse,0.1,4,3,2,50,0.9,0.8212225432273914,0.9643956936433739,0.8798712291268243,2038.2906762986918
1200,leaky_relu,32,300,20,mse,0.1,4,3,2,100,0.9,0.8528213022436344,0.9482789269330367,0.8941773974939186,1785.4649768525019
1200,leaky_relu,32,300,20,mse,0.1,4,3,3,1,0.9,0.8259753379517227,0.9615252414250227,0.8825432326352185,1904.012532389153
1200,leaky_relu,32,300,20,mse,0.1,4,3,3,10,0.9,0.7932929046948564,0.963594814468377,0.8658610077512994,2338.5190225187343
1200,leaky_relu,32,300,20,mse,0.1,4,3,3,50,0.9,0.8525603240337253,0.9592880965934549,0.9021462685276151,1755.8156150141049
1200,leaky_relu,32,300,20,mse,0.1,4,3,3,100,0.9,0.8594858532676741,0.9443306346158741,0.9054886124477083,1781.275477288431
1200,leaky_relu,32,300,20,mse,0.1,4,3,4,1,0.9,0.8656838462034395,0.9548140621757559,0.9116266844562017,1542.1444514524676
1200,leaky_relu,32,300,20,mse,0.1,4,3,4,10,0.9,0.8474386373836635,0.9718565663222307,0.9019633550945199,1762.0524371292709
1200,leaky_relu,32,300,20,mse,0.1,4,3,4,50,0.9,0.8019960967331146,0.9660666053822295,0.8707157886170898,2282.9121551561398
1200,leaky_relu,32,300,20,mse,0.1,4,3,4,100,0.9,0.8815932536018971,0.928175372837249,0.9049514264350973,1452.5116288323043
1200,leaky_relu,32,300,20,mse,0.1,4,4,2,1,0.9,0.8452916887031162,0.9768242149005091,0.8998106402462944,1733.852929647912
1200,leaky_relu,32,300,20,mse,0.1,4,4,2,10,0.9,0.8567559378661187,0.9474228791223297,0.8998968422062956,1601.666665676815
1200,leaky_relu,32,300,20,mse,0.1,4,4,2,50,0.9,0.8523397148238503,0.9693469236791219,0.9044681170239552,1714.9057795405865
1200,leaky_relu,32,300,20,mse,0.1,4,4,2,100,0.9,0.824530501100272,0.9524094701254404,0.8838648931541158,2059.9031878677047
1200,leaky_relu,32,300,20,mse,0.1,4,4,3,1,0.9,0.8433143785209861,0.9560534157263201,0.8937377691207762,1715.877769294364
1200,leaky_relu,32,300,20,mse,0.1,4,4,3,10,0.9,0.8425948110859427,0.9574268827741848,0.8936031066864388,1900.5667809016081
1200,leaky_relu,32,300,20,mse,0.1,4,4,3,50,0.9,0.7997410210294689,0.9667273426415042,0.8759904874929921,2312.4776567662875
1200,leaky_relu,32,300,20,mse,0.1,4,4,3,100,0.9,0.8838746263972438,0.9575945956453068,0.9177612221794542,1448.895937011865
1200,leaky_relu,32,300,20,mse,0.1,4,4,4,1,0.9,0.8638053062616234,0.9494080368975573,0.9118893384639766,1484.2853705519524
1200,leaky_relu,32,300,20,mse,0.1,4,4,4,10,0.9,0.8604683357030984,0.9483192332274413,0.9064015351650321,1640.8269711420896
1200,leaky_relu,32,300,20,mse,0.1,4,4,4,50,0.9,0.8646571481882276,0.9727176584343127,0.9105445372994256,1585.0196901642053
1200,leaky_relu,32,300,20,mse,0.1,4,4,4,100,0.9,0.8410830373654924,0.9572698497039541,0.8960226876774133,1812.2591653534441
1200,leaky_relu,32,300,25,mse,0.001,4,2,2,1,0.9,0.7859436006166175,0.43296995767341834,0.8700589665879856,2461.6992218193177
1200,leaky_relu,32,300,25,mse,0.001,4,2,2,10,0.9,0.8141125224980742,0.38605210271232493,0.8461975971343847,2229.821019878628
1200,leaky_relu,32,300,25,mse,0.001,4,2,2,50,0.9,0.8148503321136532,0.28603550254763055,0.832507599174558,2237.84998401296
1200,leaky_relu,32,300,25,mse,0.001,4,2,2,100,0.9,0.8057303390607823,0.0903628040155664,0.8174997150916131,2335.2782262693017
1200,leaky_relu,32,300,25,mse,0.001,4,2,3,1,0.9,0.7815352601662523,0.4329028823930017,0.8768750822904641,2506.679530816251
1200,leaky_relu,32,300,25,mse,0.001,4,2,3,10,0.9,0.8125515466350012,0.38612083275540965,0.8497272947282063,2235.96414237757
1200,leaky_relu,32,300,25,mse,0.001,4,2,3,50,0.9,0.8146615313154024,0.28638057818503465,0.8337244934074817,2236.261826310066
1200,leaky_relu,32,300,25,mse,0.001,4,2,3,100,0.9,0.8054455244004075,0.09056917557538671,0.8181552113090894,2336.3977754220878
1200,leaky_relu,32,300,25,mse,0.001,4,2,4,1,0.9,0.77441989775187,0.4331055668819699,0.8776971587210627,2578.553003345815
1200,leaky_relu,32,300,25,mse,0.001,4,2,4,10,0.9,0.8109108454492775,0.3859499439174905,0.8527041407701579,2244.7713416767174
1200,leaky_relu,32,300,25,mse,0.001,4,2,4,50,0.9,0.8158854634338234,0.2921214697218197,0.8356840768970072,2221.011095398625
1200,leaky_relu,32,300,25,mse,0.001,4,2,4,100,0.9,0.8053246724135932,0.09241430799091796,0.8191368879769034,2335.237706920434
1200,leaky_relu,32,300,25,mse,0.001,4,3,2,1,0.9,0.7858536948018954,0.43334442600946793,0.8700888000082143,2462.6524150560595
1200,leaky_relu,32,300,25,mse,0.001,4,3,2,10,0.9,0.8142922663314559,0.4119082167592807,0.8478549527613448,2227.40696305151
1200,leaky_relu,32,300,25,mse,0.001,4,3,2,50,0.9,0.8186447908753174,0.40928679131652995,0.8402236705289036,2196.5685770316727
1200,leaky_relu,32,300,25,mse,0.001,4,3,2,100,0.9,0.8070456978390852,0.2068394248195952,0.8238603696392647,2316.597518280511
1200,leaky_relu,32,300,25,mse,0.001,4,3,3,1,0.9,0.7814622773602127,0.4336596615785543,0.8768822688083785,2507.4385925294728
1200,leaky_relu,32,300,25,mse,0.001,4,3,3,10,0.9,0.8128763683148444,0.41206466432269956,0.8512531033877747,2232.299761206853
1200,leaky_relu,32,300,25,mse,0.001,4,3,3,50,0.9,0.8184194544634893,0.4092221336673701,0.8412142817954952,2195.709291158638
1200,leaky_relu,32,300,25,mse,0.001,4,3,3,100,0.9,0.8061215498097982,0.2037602731007407,0.8246096201940915,2327.3230718837713
1200,leaky_relu,32,300,25,mse,0.001,4,3,4,1,0.9,0.7743874833246664,0.43347857438579085,0.8777071526996311,2578.849003158754
1200,leaky_relu,32,300,25,mse,0.001,4,3,4,10,0.9,0.811184957584875,0.41227536470941956,0.8540424263190669,2241.722360188141
1200,leaky_relu,32,300,25,mse,0.001,4,3,4,50,0.9,0.8188627918694975,0.41851550711903485,0.8435208315698873,2188.1259706353417
1200,leaky_relu,32,300,25,mse,0.001,4,3,4,100,0.9,0.8060241798002262,0.20364904480389104,0.825349392017969,2326.8248885820108
